date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:08	2370/2370	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Jan%202018%2022:52:08%20GMT	http://adverifai.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadverifai.com%2Fsample-page%2F&format=xml	/home/boss/websites/Israel/adverifai.com/wp-json/oembed/1.0/embed0cdf	(from http://adverifai.com/sample-page/)
00:52:09	27049/27049	---M--	200	added ('OK')	image/png	etag:%22552dc1ef01969e9c%22	https://i1.wp.com/adverifai.com/wp-content/uploads/2017/11/Or_Levi.png?w=750	/home/boss/websites/Israel/i1.wp.com/adverifai.com/wp-content/uploads/2017/11/Or_Levi0353.png	(from http://adverifai.com/sample-page/)
00:52:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Jan%202018%2022:52:09%20GMT	https://wp.me/P9mldX-5	/home/boss/websites/Israel/wp.me/P9mldX-5	(from http://adverifai.com/contact-us/)
00:52:10	2286/2286	---MCZ	200	added ('OK')	application/json	date:Mon,%2008%20Jan%202018%2022:52:09%20GMT	http://adverifai.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadverifai.com%2Fcontact-us%2F	/home/boss/websites/Israel/adverifai.com/wp-json/oembed/1.0/embedb5b3.json	(from http://adverifai.com/contact-us/)
00:52:11	2383/2383	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Jan%202018%2022:52:11%20GMT	http://adverifai.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadverifai.com%2Fcontact-us%2F&format=xml	/home/boss/websites/Israel/adverifai.com/wp-json/oembed/1.0/embed4911	(from http://adverifai.com/contact-us/)
00:52:12	7917/7917	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/common.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/common3400.css	(from http://fashionteknology.com/)
00:52:12	91225/91225	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/all_css.css	/home/boss/websites/Israel/fashionteknology.com/css/all_css.css	(from http://fashionteknology.com/)
00:52:13	4855/4855	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/fonts.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/fonts3400.css	(from http://fashionteknology.com/)
00:52:13	12601/12601	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/stripe_data_css.css	/home/boss/websites/Israel/fashionteknology.com/css/stripe_data_css.css	(from http://fashionteknology.com/)
00:52:13	30411/30411	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/effects.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/effects3400.css	(from http://fashionteknology.com/)
